Außentemperatur;Vorlauftemperatur
-20;65.000
-19;63.875
-18;62.750
-17;61.625
-16;60.500
-15;59.375
-14;58.250
-13;57.125
-12;56.000
-11;54.875
-10;53.750
-9;52.625
-8;51.500
-7;50.375
-6;49.250
-5;48.125
-4;47.000
-3;45.875
-2;44.750
-1;43.625
0;42.500
1;41.375
2;40.250
3;39.125
4;38.000
5;36.875
6;35.750
7;34.625
8;33.500
9;32.375
10;31.250
11;30.125
12;29.000
13;27.875
14;26.750
15;25.625
16;24.500
17;23.375
18;22.250
19;21.125
20;20.000
